film,year,category,award,name,age0,age
Terms of Endearment,1984,Best Supporting Actor,winners,Jack Nicholson,46,40-54
Anna,1988,Best Actress,nominees,Sally Kirkland,46,40-54
For the Boys,1992,Best Actress,nominees,Bette Midler,46,40-54
The Crying Game,1993,Best Actor,nominees,Stephen Rea,46,40-54
Lorenzo's Oil,1993,Best Actress,nominees,Susan Sarandon,46,40-54
Pulp Fiction,1995,Best Supporting Actor,nominees,Samuel L. Jackson,46,40-54
The Bridges of Madison County,1996,Best Actress,nominees,Meryl Streep,46,40-54
Good Will Hunting,1998,Best Supporting Actor,winners,Robin Williams,46,40-54
Life is Beautiful,1999,Best Actor,winners,Roberto Benigni,46,40-54
Being Julia,2005,Best Actress,nominees,Annette Bening,46,40-54
Capote,2006,Best Supporting Actress,nominees,Catherine Keener,46,40-54
Michael Clayton,2008,Best Actor,nominees,George Clooney,46,40-54
The Help,2012,Best Actress,nominees,Viola Davis,46,40-54
August: Osage County,2014,Best Supporting Actress,nominees,Julia Roberts,46,40-54
Thunderbolt,1930,Best Actor,nominees,George Bancroft,47,40-54
The Champ,1933,Best Actor,winners,Wallace Beery,47,40-54
Algiers,1939,Best Supporting Actor,nominees,Gene Lockhart,47,40-54
Stagecoach,1940,Best Supporting Actor,winners,Thomas Mitchell,47,40-54
Sergeant York,1942,Best Supporting Actor,nominees,Walter Brennan,47,40-54
The Heiress,1950,Best Supporting Actor,nominees,Ralph Richardson,47,40-54
Come to the Stable,1950,Best Supporting Actress,nominees,Elsa Lanchester,47,40-54
Roman Holiday,1954,Best Supporting Actor,nominees,Eddie Albert,47,40-54
The Brothers Karamazov,1959,Best Supporting Actor,nominees,Lee J. Cobb,47,40-54
Ben-Hur,1960,Best Supporting Actor,winners,Hugh Griffith,47,40-54
Elmer Gantry,1961,Best Actor,winners,Burt Lancaster,47,40-54
Sons and Lovers,1961,Best Actor,nominees,Trevor Howard,47,40-54
To Kill a Mockingbird,1963,Best Actor,winners,Gregory Peck,47,40-54
Othello,1966,Best Supporting Actress,nominees,Joyce Redman,47,40-54
Guess Who's Coming to Dinner,1968,Best Supporting Actress,nominees,Beah Richards,47,40-54
Thoroughly Modern Millie,1968,Best Supporting Actress,nominees,Carol Channing,47,40-54
Julia,1978,Best Supporting Actor,nominees,Maximilian Schell,47,40-54
All That Jazz,1980,Best Actor,nominees,Roy Scheider,47,40-54
Victor/Victoria,1983,Best Actress,nominees,Julie Andrews,47,40-54
The Dresser,1984,Best Actor,nominees,Albert Finney,47,40-54
The Dresser,1984,Best Actor,nominees,Tom Courtenay,47,40-54
Runaway Train,1986,Best Actor,nominees,Jon Voight,47,40-54
Awakenings,1991,Best Actor,nominees,Robert De Niro,47,40-54
The Fugitive,1994,Best Supporting Actor,winners,Tommy Lee Jones,47,40-54
Bullets Over Broadway,1995,Best Supporting Actress,winners,Dianne Wiest,47,40-54
Fargo,1997,Best Supporting Actor,nominees,William H. Macy,47,40-54
Shakespeare in Love,1999,Best Supporting Actor,nominees,Geoffrey Rush,47,40-54
Training Day,2002,Best Actor,winners,Denzel Washington,47,40-54
Michael Clayton,2008,Best Supporting Actress,winners,Tilda Swinton,47,40-54
The Gorgeous Hussy,1937,Best Supporting Actress,nominees,Beulah Bondi,48,40-54
Sahara,1944,Best Supporting Actor,nominees,J. Carrol Naish,48,40-54
Anna and the King of Siam,1947,Best Supporting Actress,nominees,Gale Sondergaard,48,40-54
Johnny Belinda,1949,Best Supporting Actress,nominees,Agnes Moorehead,48,40-54
The Rose Tattoo,1956,Best Actress,winners,Anna Magnani,48,40-54
Summertime,1956,Best Actress,nominees,Katharine Hepburn,48,40-54
Picnic,1956,Best Supporting Actor,nominees,Arthur O'Connell,48,40-54
Pete 'n' Tillie,1973,Best Supporting Actress,nominees,Geraldine Page,48,40-54
Breaking Away,1980,Best Supporting Actress,nominees,Barbara Barrie,48,40-54
The Stunt Man,1981,Best Actor,nominees,Peter O'Toole,48,40-54
Resurrection,1981,Best Actress,nominees,Ellen Burstyn,48,40-54
Private Benjamin,1981,Best Supporting Actress,nominees,Eileen Brennan,48,40-54
Only When I Laugh,1982,Best Supporting Actress,nominees,Joan Hackett,48,40-54
Under the Volcano,1985,Best Actor,nominees,Albert Finney,48,40-54
The Bostonians,1985,Best Actress,nominees,Vanessa Redgrave,48,40-54
Prizzi's Honor,1986,Best Actor,nominees,Jack Nicholson,48,40-54
Good Fellas,1991,Best Supporting Actor,winners,Joe Pesci,48,40-54
Cape Fear,1992,Best Actor,nominees,Robert De Niro,48,40-54
Bugsy,1992,Best Supporting Actor,nominees,Ben Kingsley,48,40-54
In the Name of the Father,1994,Best Supporting Actor,nominees,Pete Postlethwaite,48,40-54
The Client,1995,Best Actress,nominees,Susan Sarandon,48,40-54
Bullets Over Broadway,1995,Best Supporting Actor,nominees,Chazz Palminteri,48,40-54
Mr. Holland's Opus,1996,Best Actor,nominees,Richard Dreyfuss,48,40-54
The Truman Show,1999,Best Supporting Actor,nominees,Ed Harris,48,40-54
North Country,2006,Best Supporting Actress,nominees,Frances McDormand,48,40-54
Milk,2009,Best Actor,winners,Sean Penn,48,40-54
Frozen River,2009,Best Actress,nominees,Melissa Leo,48,40-54
Up in the Air,2010,Best Actor,nominees,George Clooney,48,40-54
The Messenger,2010,Best Supporting Actor,nominees,Woody Harrelson,48,40-54
A Better Life,2012,Best Actor,nominees,Demin Bichir,48,40-54
Moneyball,2012,Best Actor,nominees,Brad Pitt,48,40-54
The Informer,1936,Best Actor,winners,Victor McLaglen,49,40-54
The Little Foxes,1942,Best Supporting Actress,nominees,Patricia Collinge,49,40-54
The Best Years of Our Lives,1947,Best Actor,winners,Fredric March,49,40-54
All About Eve,1951,Best Supporting Actress,nominees,Thelma Ritter,49,40-54
Sudden Fear,1953,Best Actress,nominees,Joan Crawford,49,40-54
Richard III,1957,Best Actor,nominees,Laurence Olivier,49,40-54
The Rainmaker,1957,Best Actress,nominees,Katharine Hepburn,49,40-54
Separate Tables,1959,Best Actor,winners,David Niven,49,40-54
The Big Country,1959,Best Supporting Actor,winners,Burl Ives,49,40-54
Birdman of Alcatraz,1963,Best Actor,nominees,Burt Lancaster,49,40-54
Zorba the Greek,1965,Best Actor,nominees,Anthony Quinn,49,40-54
Seven Days in May,1965,Best Supporting Actor,nominees,Edmond O'Brien,49,40-54
The Godfather,1973,Best Actor,winners,Marlon Brando (refused the award),49,40-54
Save the Tiger,1974,Best Actor,winners,Jack Lemmon,49,40-54
Apocalypse Now,1980,Best Supporting Actor,nominees,Robert Duvall,49,40-54
Terms of Endearment,1984,Best Actress,winners,Shirley MacLaine,49,40-54
The Morning After,1987,Best Actress,nominees,Jane Fonda,49,40-54
Shirley Valentine,1990,Best Actress,nominees,Pauline Collins,49,40-54
Indochine,1993,Best Actress,nominees,Catherine Deneuve,49,40-54
The Madness of King George,1995,Best Supporting Actress,nominees,Helen Mirren,49,40-54
Dead Man Walking,1996,Best Actress,winners,Susan Sarandon,49,40-54
Ghosts of Mississippi,1997,Best Supporting Actor,nominees,James Woods,49,40-54
The Portrait of a Lady,1997,Best Supporting Actress,nominees,Barbara Hershey,49,40-54
One True Thing,1999,Best Actress,nominees,Meryl Streep,49,40-54
Quills,2001,Best Actor,nominees,Geoffrey Rush,49,40-54
Vera Drake,2005,Best Actress,nominees,Imelda Staunton,49,40-54
Eastern Promises,2008,Best Actor,nominees,Viggo Mortensen,49,40-54
A Single Man,2010,Best Actor,nominees,Colin Firth,49,40-54
The Lovely Bones,2010,Best Supporting Actor,nominees,Stanley Tucci,49,40-54
The Sessions,2013,Best Supporting Actress,nominees,Helen Hunt,49,40-54
Gravity,2014,Best Actress,nominees,Sandra Bullock,49,40-54
A Ship Comes In,1929,Best Actress,nominees,Louise Dresser,50,40-54
The Patriot,1930,Best Actor,nominees,Lewis Stone,50,40-54
Topper,1938,Best Supporting Actor,nominees,Roland Young,50,40-54
Of Human Hearts,1939,Best Supporting Actress,nominees,Beulah Bondi,50,40-54
Mr. Smith Goes to Washington,1940,Best Supporting Actor,nominees,Claude Rains,50,40-54
A Medal for Benny,1946,Best Supporting Actor,nominees,J. Carrol Naish,50,40-54
I Remember Mama,1949,Best Actress,nominees,Irene Dunne,50,40-54
I Remember Mama,1949,Best Supporting Actor,nominees,Oscar Homolka,50,40-54
The Mating Season,1952,Best Supporting Actress,nominees,Thelma Ritter,50,40-54
Wild Is the Wind,1958,Best Actress,nominees,Anna Magnani,50,40-54
The Go-Between,1972,Best Supporting Actress,nominees,Margaret Leighton,50,40-54
Last Tango in Paris,1974,Best Actor,nominees,Marlon Brando,50,40-54
Shampoo,1976,Best Supporting Actress,winners,Lee Grant,50,40-54
The Great Santini,1981,Best Actor,nominees,Robert Duvall,50,40-54
Gloria,1981,Best Actress,nominees,Gena Rowlands,50,40-54
Chariots of Fire,1982,Best Supporting Actor,nominees,Ian Holm,50,40-54
My Favorite Year,1983,Best Actor,nominees,Peter O'Toole,50,40-54
Hoosiers,1987,Best Supporting Actor,nominees,Dennis Hopper,50,40-54
Street Smart,1988,Best Supporting Actor,nominees,Morgan Freeman,50,40-54
Dick Tracy,1991,Best Supporting Actor,nominees,Al Pacino,50,40-54
Barton Fink,1992,Best Supporting Actor,nominees,Michael Lerner,50,40-54
Six Degrees of Separation,1994,Best Actress,nominees,Stockard Channing,50,40-54
Primary Colors,1999,Best Supporting Actress,nominees,Kathy Bates,50,40-54
Music of the Heart,2000,Best Actress,nominees,Meryl Streep,50,40-54
Pollock,2001,Best Actor,nominees,Ed Harris,50,40-54
There Will Be Blood,2008,Best Actor,winners,Daniel Day-Lewis,50,40-54
The King's Speech,2011,Best Actor,winners,Colin Firth,50,40-54
The Fighter,2011,Best Supporting Actress,winners,Melissa Leo,50,40-54
The Descendants,2012,Best Actor,nominees,George Clooney,50,40-54
Albert Nobbs,2012,Best Supporting Actress,nominees,Janet McTeer,50,40-54
The Great Dictator,1941,Best Actor,nominees,Charles Chaplin,51,40-54
The Letter,1941,Best Supporting Actor,nominees,James Stephenson,51,40-54
Primrose Path,1941,Best Supporting Actress,nominees,Marjorie Rambeau,51,40-54
Father of the Bride,1951,Best Actor,nominees,Spencer Tracy,51,40-54
Death of a Salesman,1952,Best Supporting Actress,nominees,Mildred Dunnock,51,40-54
High Noon,1953,Best Actor,winners,Gary Cooper,51,40-54
With a Song in My Heart,1953,Best Supporting Actress,nominees,Thelma Ritter,51,40-54
The Country Girl,1955,Best Actor,nominees,Bing Crosby,51,40-54
Auntie Mame,1959,Best Actress,nominees,Rosalind Russell,51,40-54
Anatomy of a Murder,1960,Best Actor,nominees,James Stewart,51,40-54
Tom Jones,1964,Best Supporting Actor,nominees,Hugh Griffith,51,40-54
Kotch,1972,Best Actor,nominees,Walter Matthau,51,40-54
Voyage of the Damned,1977,Best Supporting Actress,nominees,Lee Grant,51,40-54
Educating Rita,1984,Best Actor,nominees,Michael Caine,51,40-54
A Soldier's Story,1985,Best Supporting Actor,nominees,Adolph Caesar,51,40-54
Ironweed,1988,Best Actor,nominees,Jack Nicholson,51,40-54
Gaby - A True Story,1988,Best Supporting Actress,nominees,Norma Aleandro,51,40-54
Rain Man,1989,Best Actor,winners,Dustin Hoffman,51,40-54
The Prince of Tides,1992,Best Actor,nominees,Nick Nolte,51,40-54
Marvin's Room,1997,Best Actress,nominees,Diane Keaton,51,40-54
Secrets & Lies,1997,Best Actress,nominees,Brenda Blethyn,51,40-54
The Contender,2001,Best Supporting Actor,nominees,Jeff Bridges,51,40-54
Billy Elliot,2001,Best Supporting Actress,nominees,Julie Walters,51,40-54
Adaptation,2003,Best Supporting Actor,winners,Chris Cooper,51,40-54
House of Sand and Fog,2004,Best Supporting Actress,nominees,Shohreh Aghdashloo,51,40-54
Babel,2007,Best Supporting Actress,nominees,Adriana Barraza,51,40-54
Winter's Bone,2011,Best Supporting Actor,nominees,John Hawkes,51,40-54
My Week with Marilyn,2012,Best Supporting Actor,nominees,Kenneth Branagh,51,40-54
You Can't Take It With You,1939,Best Supporting Actress,nominees,Spring Byington,52,40-54
Random Harvest,1943,Best Actor,nominees,Ronald Colman,52,40-54
Tortilla Flat,1943,Best Supporting Actor,nominees,Frank Morgan,52,40-54
Watch on the Rhine,1944,Best Actor,winners,Paul Lukas,52,40-54
Sunset Blvd.,1951,Best Actress,nominees,Gloria Swanson,52,40-54
The African Queen,1952,Best Actor,winners,Humphrey Bogart,52,40-54
Pickup on South Street,1954,Best Supporting Actress,nominees,Thelma Ritter,52,40-54
"Suddenly, Last Summer",1960,Best Actress,nominees,Katharine Hepburn,52,40-54
Anatomy of a Murder,1960,Best Supporting Actor,nominees,Arthur O'Connell,52,40-54
The Poseidon Adventure,1973,Best Supporting Actress,nominees,Shelley Winters,52,40-54
The Godfather Part II,1975,Best Supporting Actor,nominees,Michael V. Gazzo,52,40-54
Day for Night,1975,Best Supporting Actress,nominees,Valentina Cortese,52,40-54
Equus,1978,Best Actor,nominees,Richard Burton,52,40-54
Only When I Laugh,1982,Best Supporting Actor,nominees,James Coco,52,40-54
The Karate Kid,1985,Best Supporting Actor,nominees,Noriyuki 'Pat' Morita,52,40-54
A Room with a View,1987,Best Supporting Actress,nominees,Maggie Smith,52,40-54
Driving Miss Daisy,1990,Best Actor,nominees,Morgan Freeman,52,40-54
Bugsy,1992,Best Supporting Actor,nominees,Harvey Keitel,52,40-54
Scent of a Woman,1993,Best Actor,winners,Al Pacino,52,40-54
Glengarry Glen Ross,1993,Best Supporting Actor,nominees,Al Pacino,52,40-54
In the Bedroom,2002,Best Actress,nominees,Sissy Spacek,52,40-54
Iris,2002,Best Supporting Actor,winners,Jim Broadbent,52,40-54
The Hours,2003,Best Supporting Actor,nominees,Ed Harris,52,40-54
The Kids Are All Right,2011,Best Actress,nominees,Annette Bening,52,40-54
A Free Soul,1932,Best Actor,winners,Lionel Barrymore,53,40-54
Dodsworth,1937,Best Actor,nominees,Walter Huston,53,40-54
The Song of Bernadette,1944,Best Supporting Actor,nominees,Charles Bickford,53,40-54
Duel in the Sun,1947,Best Supporting Actress,nominees,Lillian Gish,53,40-54
Pinky,1950,Best Supporting Actress,nominees,Ethel Waters,53,40-54
Caged,1951,Best Supporting Actress,nominees,Hope Emerson,53,40-54
Room at the Top,1960,Best Supporting Actress,nominees,Hermione Baddeley,53,40-54
The Entertainer,1961,Best Actor,nominees,Laurence Olivier,53,40-54
The Last Picture Show,1972,Best Supporting Actor,winners,Ben Johnson,53,40-54
A Special Day,1978,Best Actor,nominees,Marcello Mastroianni,53,40-54
Interiors,1979,Best Supporting Actress,nominees,Maureen Stapleton,53,40-54
Tender Mercies,1984,Best Actor,winners,Robert Duvall,53,40-54
Cross Creek,1984,Best Supporting Actor,nominees,Rip Torn,53,40-54
Married to the Mob,1989,Best Supporting Actor,nominees,Dean Stockwell,53,40-54
Little Voice,1999,Best Supporting Actress,nominees,Brenda Blethyn,53,40-54
Adaptation,2003,Best Supporting Actress,nominees,Meryl Streep,53,40-54
Lost in Translation,2004,Best Actor,nominees,Bill Murray,53,40-54
Inglourious Basterds,2010,Best Supporting Actor,winners,Christoph Waltz,53,40-54
Tinker Tailor Soldier Spy,2012,Best Actor,nominees,Gary Oldman,53,40-54
Merrily We Live,1939,Best Supporting Actress,nominees,Billie Burke,54,40-54
The Pied Piper,1943,Best Actor,nominees,Monty Woolley,54,40-54
"Now, Voyager",1943,Best Supporting Actress,nominees,Gladys Cooper,54,40-54
Casablanca,1944,Best Supporting Actor,nominees,Claude Rains,54,40-54
Spellbound,1946,Best Supporting Actor,nominees,Michael Chekhov,54,40-54
Death of a Salesman,1952,Best Actor,nominees,Fredric March,54,40-54
"Come Back, Little Sheba",1953,Best Actress,winners,Shirley Booth,54,40-54
A Man for All Seasons,1967,Best Supporting Actress,nominees,Wendy Hiller,54,40-54
Funny Girl,1969,Best Supporting Actress,nominees,Kay Medford,54,40-54
Butterflies Are Free,1973,Best Supporting Actress,winners,Eileen Heckart,54,40-54
Bang the Drum Slowly,1974,Best Supporting Actor,nominees,Vincent Gardenia,54,40-54
"Give 'em Hell, Harry!",1976,Best Actor,nominees,James Whitmore,54,40-54
All the President's Men,1977,Best Supporting Actor,winners,Jason Robards,54,40-54
Interiors,1979,Best Actress,nominees,Geraldine Page,54,40-54
Being There,1980,Best Actor,nominees,Peter Sellers,54,40-54
Agnes of God,1986,Best Actress,nominees,Anne Bancroft,54,40-54
Hannah and Her Sisters,1987,Best Supporting Actor,winners,Michael Caine,54,40-54
The Silence of the Lambs,1992,Best Actor,winners,Anthony Hopkins,54,40-54
In the Bedroom,2002,Best Actor,nominees,Tom Wilkinson,54,40-54
About Schmidt,2003,Best Supporting Actress,nominees,Kathy Bates,54,40-54
The Song of Bernadette,1944,Best Supporting Actress,nominees,Gladys Cooper,55,55-69
Mr. Skeffington,1945,Best Supporting Actor,nominees,Claude Rains,55,55-69
Laura,1945,Best Supporting Actor,nominees,Clifton Webb,55,55-69
The Jolson Story,1947,Best Supporting Actor,nominees,William Demarest,55,55-69
Life with Father,1948,Best Actor,nominees,William Powell,55,55-69
The Caine Mutiny,1955,Best Actor,nominees,Humphrey Bogart,55,55-69
Bad Day at Black Rock,1956,Best Actor,nominees,Spencer Tracy,55,55-69
Witness for the Prosecution,1958,Best Supporting Actress,nominees,Elsa Lanchester,55,55-69
Long Day's Journey Into Night,1963,Best Actress,nominees,Katharine Hepburn,55,55-69
Whatever Happened to Baby Jane?,1963,Best Actress,nominees,Bette Davis,55,55-69
Sunday Bloody Sunday,1972,Best Actor,nominees,Peter Finch,55,55-69
The Sunshine Boys,1976,Best Actor,nominees,Walter Matthau,55,55-69
Shampoo,1976,Best Supporting Actor,nominees,Jack Warden,55,55-69
Julia,1978,Best Supporting Actor,winners,Jason Robards,55,55-69
The China Syndrome,1980,Best Actor,nominees,Jack Lemmon,55,55-69
Children of a Lesser God,1987,Best Supporting Actress,nominees,Piper Laurie,55,55-69
Wild at Heart,1991,Best Supporting Actress,nominees,Diane Ladd,55,55-69
Bugsy,1992,Best Actor,nominees,Warren Beatty,55,55-69
A Few Good Men,1993,Best Supporting Actor,nominees,Jack Nicholson,55,55-69
A History of Violence,2006,Best Supporting Actor,nominees,William Hurt,55,55-69
Lincoln,2013,Best Actor,winners,Daniel Day-Lewis,55,55-69
Drums Along the Mohawk,1940,Best Supporting Actress,nominees,Edna May Oliver,56,55-69
Since You Went Away,1945,Best Supporting Actor,nominees,Monty Woolley,56,55-69
The Magnificent Yankee,1951,Best Actor,nominees,Louis Calhern,56,55-69
Love Me or Leave Me,1956,Best Actor,nominees,James Cagney,56,55-69
Baby Doll,1957,Best Supporting Actress,nominees,Mildred Dunnock,56,55-69
A Farewell to Arms,1958,Best Supporting Actor,nominees,Vittorio De Sica,56,55-69
Sunrise at Campobello,1961,Best Actress,nominees,Greer Garson,56,55-69
Cleopatra,1964,Best Actor,nominees,Rex Harrison,56,55-69
"They Shoot Horses, Don't They?",1970,Best Supporting Actor,winners,Gig Young,56,55-69
Anne of the Thousand Days,1970,Best Supporting Actor,nominees,Anthony Quayle,56,55-69
Harry and Tonto,1975,Best Actor,winners,Art Carney,56,55-69
Tribute,1981,Best Actor,nominees,Jack Lemmon,56,55-69
Reds,1982,Best Supporting Actress,winners,Maureen Stapleton,56,55-69
Jagged Edge,1986,Best Supporting Actor,nominees,Robert Loggia,56,55-69
Moonstruck,1988,Best Supporting Actress,winners,Olympia Dukakis,56,55-69
Do the Right Thing,1990,Best Supporting Actor,nominees,Danny Aiello,56,55-69
Rambling Rose,1992,Best Supporting Actress,nominees,Diane Ladd,56,55-69
Howards End,1993,Best Supporting Actress,nominees,Vanessa Redgrave,56,55-69
The Remains of the Day,1994,Best Actor,nominees,Anthony Hopkins,56,55-69
Babe,1996,Best Supporting Actor,nominees,James Cromwell,56,55-69
Afterglow,1998,Best Actress,nominees,Julie Christie,56,55-69
Jackie Brown,1998,Best Supporting Actor,nominees,Robert Forster,56,55-69
Gods and Monsters,1999,Best Supporting Actress,nominees,Lynn Redgrave,56,55-69
Gosford Park,2002,Best Supporting Actress,nominees,Helen Mirren,56,55-69
The Wrestler,2009,Best Actor,nominees,Mickey Rourke,56,55-69
Django Unchained,2013,Best Supporting Actor,winners,Christoph Waltz,56,55-69
Going My Way,1945,Best Actor,nominees,Barry Fitzgerald,57,55-69
Going My Way,1945,Best Supporting Actor,winners,Barry Fitzgerald,57,55-69
Notorious,1947,Best Supporting Actor,nominees,Claude Rains,57,55-69
The Razor's Edge,1947,Best Supporting Actor,nominees,Clifton Webb,57,55-69
A Double Life,1948,Best Actor,winners,Ronald Colman,57,55-69
The Farmer's Daughter,1948,Best Supporting Actor,nominees,Charles Bickford,57,55-69
The Cardinal,1964,Best Supporting Actor,nominees,John Huston,57,55-69
My Fair Lady,1965,Best Actor,winners,Rex Harrison,57,55-69
Georgy Girl,1967,Best Supporting Actor,nominees,James Mason,57,55-69
Absence of Malice,1982,Best Actor,nominees,Paul Newman,57,55-69
The Untouchables,1988,Best Supporting Actor,winners,Sean Connery,57,55-69
The Shawshank Redemption,1995,Best Actor,nominees,Morgan Freeman,57,55-69
"Good Night, and Good Luck.",2006,Best Actor,nominees,David Strathairn,57,55-69
The Devil Wears Prada,2007,Best Actress,nominees,Meryl Streep,57,55-69
All That Money Can Buy,1942,Best Actor,nominees,Walter Huston,58,55-69
The Egg and I,1948,Best Supporting Actress,nominees,Marjorie Main,58,55-69
The Luck of the Irish,1949,Best Supporting Actor,nominees,Cecil Kellaway,58,55-69
Johnny Belinda,1949,Best Supporting Actor,nominees,Charles Bickford,58,55-69
Witness for the Prosecution,1958,Best Actor,nominees,Charles Laughton,58,55-69
Pillow Talk,1960,Best Supporting Actress,nominees,Thelma Ritter,58,55-69
The Alamo,1961,Best Supporting Actor,nominees,Chill Wills,58,55-69
Summer and Smoke,1962,Best Supporting Actress,nominees,Una Merkel,58,55-69
Othello,1966,Best Actor,nominees,Laurence Olivier,58,55-69
Network,1977,Best Actor,nominees,William Holden,58,55-69
Comes a Horseman,1979,Best Supporting Actor,nominees,Richard Farnsworth,58,55-69
Heaven Can Wait,1979,Best Supporting Actor,nominees,Jack Warden,58,55-69
Melvin and Howard,1981,Best Supporting Actor,nominees,Jason Robards,58,55-69
The Verdict,1983,Best Actor,nominees,Paul Newman,58,55-69
Missing,1983,Best Actor,nominees,Jack Lemmon,58,55-69
Frances,1983,Best Supporting Actress,nominees,Kim Stanley,58,55-69
Murphy's Romance,1986,Best Actor,nominees,James Garner,58,55-69
Prizzi's Honor,1986,Best Supporting Actor,nominees,William Hickey,58,55-69
Nixon,1996,Best Actor,nominees,Anthony Hopkins,58,55-69
Ulee's Gold,1998,Best Actor,nominees,Peter Fonda,58,55-69
Affliction,1999,Best Actor,nominees,Nick Nolte,58,55-69
Sexy Beast,2002,Best Supporting Actor,nominees,Ben Kingsley,58,55-69
Something's Gotta Give,2004,Best Actress,nominees,Diane Keaton,58,55-69
Flight,2013,Best Actor,nominees,Denzel Washington,58,55-69
How Green Was My Valley,1942,Best Supporting Actor,winners,Donald Crisp,59,55-69
Here Comes Mr. Jordan,1942,Best Supporting Actor,nominees,James Gleason,59,55-69
Yankee Doodle Dandy,1943,Best Supporting Actor,nominees,Walter Huston,59,55-69
Sitting Pretty,1949,Best Actor,nominees,Clifton Webb,59,55-69
The Old Man and the Sea,1959,Best Actor,nominees,Spencer Tracy,59,55-69
Murder on the Orient Express,1975,Best Supporting Actress,winners,Ingrid Bergman,59,55-69
The Black Stallion,1980,Best Supporting Actor,nominees,Mickey Rooney,59,55-69
Throw Momma From the Train,1988,Best Supporting Actress,nominees,Anne Ramsey,59,55-69
Mississippi Burning,1989,Best Actor,nominees,Gene Hackman,59,55-69
Gods and Monsters,1999,Best Actor,nominees,Ian McKellen,59,55-69
Crazy Heart,2010,Best Actor,winners,Jeff Bridges,59,55-69
Doubt,2009,Best Actress,nominees,Meryl Streep,59,55-69
The King's Speech,2011,Best Supporting Actor,nominees,Geoffrey Rush,59,55-69
Dodsworth,1937,Best Supporting Actress,nominees,Maria Ouspenskaya,60,55-69
Sergeant York,1942,Best Supporting Actress,nominees,Margaret Wycherly,60,55-69
The Asphalt Jungle,1951,Best Supporting Actor,nominees,Sam Jaffe,60,55-69
Guess Who's Coming to Dinner,1968,Best Actress,winners,Katharine Hepburn,60,55-69
Network,1977,Best Actor,winners,Peter Finch,60,55-69
The Best Little Whorehouse in Texas,1983,Best Supporting Actor,nominees,Charles Durning,60,55-69
The Pope of Greenwich Village,1985,Best Supporting Actress,nominees,Geraldine Page,60,55-69
Pelle the Conqueror,1989,Best Actor,nominees,Max von Sydow,60,55-69
Tucker: The Man and His Dream,1989,Best Supporting Actor,nominees,Martin Landau,60,55-69
The Field,1991,Best Actor,nominees,Richard Harris,60,55-69
As Good As It Gets,1998,Best Actor,winners,Jack Nicholson,60,55-69
Wag the Dog,1998,Best Actor,nominees,Dustin Hoffman,60,55-69
Amistad,1998,Best Supporting Actor,nominees,Anthony Hopkins,60,55-69
Catch Me If You Can,2003,Best Supporting Actor,nominees,Christopher Walken,60,55-69
House of Sand and Fog,2004,Best Actor,nominees,Ben Kingsley,60,55-69
Michael Clayton,2008,Best Supporting Actor,nominees,Tom Wilkinson,60,55-69
Julie & Julia,2010,Best Actress,nominees,Meryl Streep,60,55-69
The Grapes of Wrath,1941,Best Supporting Actress,winners,Jane Darwell,61,55-69
Inherit the Wind,1961,Best Actor,nominees,Spencer Tracy,61,55-69
Birdman of Alcatraz,1963,Best Supporting Actress,nominees,Thelma Ritter,61,55-69
Becket,1965,Best Supporting Actor,nominees,John Gielgud,61,55-69
The Lion in Winter,1969,Best Actress,winners,Katharine Hepburn,61,55-69
The Subject Was Roses,1969,Best Supporting Actor,winners,Jack Albertson,61,55-69
To Be or Not to Be,1984,Best Supporting Actor,nominees,Charles Durning,61,55-69
The Trip to Bountiful,1986,Best Actress,winners,Geraldine Page,61,55-69
Crimes and Misdemeanors,1990,Best Supporting Actor,nominees,Martin Landau,61,55-69
Mr. & Mrs. Bridge,1991,Best Actress,nominees,Joanne Woodward,61,55-69
The Queen,2007,Best Actress,winners,Helen Mirren,61,55-69
In the Valley of Elah,2008,Best Actor,nominees,Tommy Lee Jones,61,55-69
The Visitor,2009,Best Actor,nominees,Richard Jenkins,61,55-69
True Grit,2011,Best Actor,nominees,Jeff Bridges,61,55-69
Disraeli,1931,Best Actor,winners,George Arliss,62,55-69
The Green Goddess,1931,Best Actor,nominees,George Arliss,62,55-69
Lost Horizon,1938,Best Supporting Actor,nominees,H. B. Warner,62,55-69
Mr. Smith Goes to Washington,1940,Best Supporting Actor,nominees,Harry Carey,62,55-69
The Maltese Falcon,1942,Best Supporting Actor,nominees,Sydney Greenstreet,62,55-69
How Green Was My Valley,1942,Best Supporting Actress,nominees,Sara Allgood,62,55-69
Fanny,1962,Best Actor,nominees,Charles Boyer,62,55-69
Judgment at Nuremberg,1962,Best Actor,nominees,Spencer Tracy,62,55-69
Sweet Bird of Youth,1963,Best Supporting Actor,winners,Ed Begley,62,55-69
Hawaii,1967,Best Supporting Actress,nominees,Jocelyne Lagarde,62,55-69
Barefoot in the Park,1968,Best Supporting Actress,nominees,Mildred Natwick,62,55-69
True Grit,1970,Best Actor,winners,John Wayne,62,55-69
Network,1977,Best Supporting Actress,winners,Beatrice Straight,62,55-69
The Color of Money,1987,Best Actor,winners,Paul Newman,62,55-69
Unforgiven,1993,Best Actor,nominees,Clint Eastwood,62,55-69
Boogie Nights,1998,Best Supporting Actor,nominees,Burt Reynolds,62,55-69
The Lord of the Rings: The Fellowship of the Ring,2002,Best Supporting Actor,nominees,Ian McKellen,62,55-69
The Iron Lady,2012,Best Actress,winners,Meryl Streep,62,55-69
